Customer ID,Customer Name,Email,Location
C001,Somchai Jaidee,somchai@email.com,Bangkok
C002,Somsri Meechok,somsri@email.com,Chiang Mai
C003,Anan Promdee,anan@email.com,Khon Kaen
C004,Malee Chokdee,malee@email.com,Phuket
C005,Kritsada Yimyai,kritsada@email.com,Nakhon Ratchasima
C006,Jiraporn Wutthikrai,jira@email.com,Bangkok
C007,Wichai Thepthai,wichai@email.com,Rayong
C008,Suda Tungsai,suda@email.com,Chonburi
C009,Nattapong Suksan,nattapong@email.com,Udon Thani
C010,Ploy Supak,ploy@email.com,Lampang
C011,Veerachai Nakdee,veerachai@email.com,Bangkok
C012,Chonticha Sukjai,chonticha@email.com,Chiang Rai
C013,Natthida Phonchai,natthida@email.com,Nakhon Sawan
C014,Teerapong Meechai,teerapong@email.com,Ayutthaya
C015,Sirilak Rakdee,sirilak@email.com,Songkhla
C016,Arthit Phoonsuk,arthit@email.com,Trang
C017,Nicha Yindee,nicha@email.com,Nonthaburi
C018,Boonmee Phojai,boonmee@email.com,Ubon Ratchathani
C019,Pranee Kaewdee,pranee@email.com,Saraburi
C020,Thanawat Sinsamut,thanawat@email.com,Krabi
